Time (s),Roll Rate (deg/s),Pitch Rate (deg/s),Yaw Rate (deg/s),X acc (m/s2),Y acc (m/s2),Z acc (m/s2),Roll (deg),Pitch (deg),Yaw (deg),N pos (m),E pos (m),Elevation (m),GPS Speed (m/s),Airspeed (m/s),Aileron (deg),Elevator (deg),Thrust (normalized),Rudder (deg)
808.64,5.057,33.002,16.353,0.59618,0.19508,-17.124,34.512,-1.7027,-156.75,194.38,119.49,-54.896,33.993,28.477,-0.043707,-2.4354,0.56655,0
808.66,6.0947,32.852,17.124,0.41703,0.65297,-18.171,34.641,-1.3699,-156.1,193.92,119.99,-54.9,33.99,28.927,-0.080339,-2.0792,0.56679,0
808.68,10.026,32.575,15.938,0.12095,0.58814,-19.89,34.818,-1.0398,-155.46,193.46,120.49,-54.906,33.987,29.378,-0.11697,-1.723,0.56704,0
808.7,16.941,30.975,14.588,0.1504,-0.12631,-20.729,35.244,-0.72357,-154.9,192.97,121,-54.916,33.983,29.747,-0.1536,-1.3668,0.56729,0
808.72,18.999,26.724,14.708,0.36853,-0.0062613,-20.555,35.654,-0.43825,-154.35,192.49,121.51,-54.927,33.98,29.675,-0.18435,-1.1011,0.56742,0
808.74,15.342,21.929,15.824,0.59346,0.83029,-19.611,35.981,-0.30765,-153.86,192.02,121.99,-54.942,33.977,29.604,-0.18435,-1.3082,0.56692,0
808.76,13.258,18.362,15.759,0.28024,0.84342,-19.137,36.317,-0.18621,-153.4,191.55,122.47,-54.958,33.973,29.532,-0.18435,-1.5152,0.56641,0
808.78,16.225,15.652,14.268,0.017467,0.54905,-18.673,36.7,-0.10778,-153.03,191.08,122.94,-54.976,33.97,29.461,-0.18435,-1.7222,0.56591,0
808.8,17.325,13.36,12.757,0.20959,0.24624,-17.243,37.082,-0.039303,-152.67,190.61,123.41,-54.994,33.967,29.369,-0.18435,-1.9293,0.56541,0
808.82,17.139,11.635,13.121,0.50466,0.53279,-15.596,37.467,-0.03417,-152.34,190.11,123.9,-55.016,33.963,29.174,-0.17921,-2.1486,0.56556,0
808.84,16.137,11.812,13.212,0.41746,0.83379,-15.031,37.842,-0.019646,-152,189.61,124.38,-55.038,33.96,28.978,-0.15172,-2.4216,0.56854,0
808.86,16.237,13.416,12.001,0.11689,0.6708,-15.348,38.173,0.035547,-151.68,189.15,124.82,-55.058,33.956,28.783,-0.12423,-2.6946,0.57152,0
808.88,17.894,15.11,10.968,0.018365,0.53425,-15.347,38.506,0.091808,-151.37,188.68,125.26,-55.078,33.951,28.587,-0.096734,-2.9676,0.57451,0
808.9,20.285,15.253,10.802,0.31795,0.11302,-14.368,38.943,0.22676,-151,188.15,125.75,-55.1,33.945,28.396,-0.069243,-3.2406,0.57749,0
808.92,14.627,16.392,12.183,0.54822,0.59533,-13.65,39.338,0.36823,-150.62,187.63,126.24,-55.122,33.939,28.223,-0.031442,-3.4439,0.57956,0
808.94,9.6506,19.481,11.797,0.39076,0.73037,-14.019,39.514,0.54373,-150.18,187.13,126.7,-55.144,33.933,28.051,0.061428,-3.2748,0.57679,0
808.96,9.3837,22.128,10.505,0.14994,0.54818,-14.876,39.693,0.73489,-149.75,186.62,127.15,-55.166,33.928,27.878,0.1543,-3.1057,0.57402,0
808.98,8.9328,23.98,9.8214,0.32462,-0.029061,-15.094,39.894,1.0043,-149.3,186.13,127.6,-55.189,33.922,27.706,0.24717,-2.9367,0.57125,0
809,7.6598,25.869,10.045,0.64881,-0.084663,-14.89,40.079,1.2753,-148.84,185.63,128.04,-55.213,33.916,27.601,0.34004,-2.7676,0.56848,0
809.02,4.3107,27.826,11.932,0.66584,0.35419,-15.458,40.151,1.5573,-148.26,185.1,128.5,-55.238,33.911,27.882,0.39866,-2.5618,0.56678,0
809.04,3.6566,29.965,12.397,0.37631,0.43157,-16.979,40.245,1.8471,-147.69,184.58,128.95,-55.264,33.909,28.163,0.31603,-2.2047,0.56952,0
809.06,5.9306,31.362,11.514,0.25784,0.063565,-18.589,40.442,2.1735,-147.14,184.06,129.38,-55.287,33.922,28.444,0.23339,-1.8476,0.57226,0
809.08,8.4763,30.162,11.97,0.55669,-0.55969,-19.167,40.633,2.485,-146.58,183.54,129.82,-55.311,33.935,28.725,0.15075,-1.4905,0.575,0
809.1,5.3836,28.372,13.848,0.8463,-0.16684,-19.193,40.78,2.7134,-145.99,183,130.25,-55.339,33.948,28.998,0.068117,-1.1334,0.57774,0
809.12,-0.73979,27.371,15.058,0.76028,0.28751,-19.738,40.903,2.9336,-145.4,182.47,130.68,-55.368,33.96,29.233,0.014608,-0.82963,0.57947,0
809.14,-2.3306,26.022,14.684,0.56814,-0.006345,-20.795,40.918,3.1175,-144.84,181.95,131.09,-55.399,33.973,29.467,0.09775,-0.77612,0.57647,0
809.16,0.26505,22.715,14.868,0.78011,-0.7833,-21.417,40.939,3.2759,-144.3,181.43,131.5,-55.431,33.986,29.702,0.18089,-0.72261,0.57346,0
809.18,-1.6185,19.534,16.6,1.1753,-0.43439,-21.16,40.993,3.3102,-143.8,180.91,131.9,-55.469,33.999,29.936,0.26403,-0.66909,0.57045,0
809.2,-3.9106,16.814,18.472,1.0746,0.1747,-20.976,41.052,3.3338,-143.31,180.37,132.31,-55.507,34.012,30.109,0.34718,-0.61558,0.56745,0
809.22,-0.40017,13.756,18.921,0.59738,-0.02315,-21.024,41.138,3.2879,-142.85,179.81,132.72,-55.551,34.025,29.959,0.39422,-0.61178,0.56509,0.0015528
809.24,4.7252,12.024,18.338,0.48509,-0.50497,-20.357,41.249,3.2281,-142.4,179.26,133.12,-55.595,34.033,29.808,0.2841,-0.82441,0.56559,0.0098652
809.26,7.2231,10.483,18.716,0.73974,-0.58245,-18.859,41.473,3.1038,-141.99,178.71,133.51,-55.639,34.023,29.657,0.17398,-1.037,0.56609,0.018178
809.28,4.2843,8.3892,21.024,0.86197,0.12663,-16.749,41.681,2.9694,-141.58,178.15,133.9,-55.684,34.012,29.506,0.063864,-1.2496,0.56659,0.02649
809.3,3.1173,7.8802,21.658,0.61038,0.49203,-16.169,41.806,2.7842,-141.15,177.57,134.3,-55.733,34.002,29.301,-0.046253,-1.4623,0.56708,0.034803
809.32,5.5942,8.4867,20.636,0.3775,0.41951,-15.254,41.955,2.6124,-140.72,177,134.69,-55.782,33.992,28.809,-0.11851,-1.6512,0.56742,0.041748
809.34,9.7798,10.049,18.689,0.42047,0.0059334,-14.507,42.22,2.5071,-140.32,176.44,135.07,-55.831,33.981,28.316,0.0015909,-1.72,0.56692,0.041748
809.36,9.176,10.688,19.009,0.6404,-0.010496,-13.769,42.47,2.4024,-139.92,175.88,135.44,-55.879,33.971,27.823,0.12169,-1.7889,0.56642,0.041748
809.38,7.035,11.757,19.723,0.70684,0.57438,-13.22,42.645,2.3004,-139.49,175.34,135.79,-55.924,33.961,27.33,0.2418,-1.8577,0.56591,0.041748
809.4,10.581,13.732,18.095,0.29218,0.524,-13.579,42.849,2.2077,-139.07,174.8,136.14,-55.97,33.95,26.908,0.3619,-1.9265,0.56541,0.041748
809.42,15.223,14.384,17.273,0.2108,0.23675,-13.41,43.281,2.1871,-138.63,174.22,136.52,-56.019,33.94,26.839,0.45116,-1.9872,0.565,0.041748
809.44,18.108,14.233,17.241,0.51236,-0.14054,-12.854,43.689,2.1624,-138.19,173.63,136.89,-56.068,33.927,26.77,0.39593,-2.01,0.565,0.041748
809.46,15.239,14.913,17.867,0.7382,0.26997,-12.372,43.984,2.1175,-137.73,173.06,137.24,-56.117,33.907,26.701,0.34069,-2.0329,0.565,0.041748
809.48,10.312,16.491,17.571,0.43163,0.7253,-12.903,44.268,2.0867,-137.27,172.48,137.6,-56.167,33.886,26.632,0.28546,-2.0557,0.565,0.041748
809.5,9.0601,17.578,16.129,0.11458,0.4359,-13.69,44.494,2.1269,-136.79,171.88,137.96,-56.216,33.866,26.594,0.23023,-2.0786,0.565,0.041748
809.52,10.314,18.559,15.448,0.23281,-0.026714,-13.677,44.72,2.1654,-136.31,171.28,138.32,-56.266,33.845,26.725,0.28002,-2.1015,0.56504,0.040327
809.54,9.3061,18.981,16.253,0.61933,0.063822,-13.172,44.947,2.1957,-135.82,170.71,138.66,-56.314,33.825,26.855,0.84479,-2.1245,0.56529,0.031941
809.56,6.498,20.144,16.776,0.61901,0.41466,-13.682,45.15,2.2351,-135.32,170.14,138.99,-56.361,33.804,26.985,1.4096,-2.1474,0.56554,0.023554
809.58,5.2553,21.639,15.928,0.31306,0.39075,-15.237,45.251,2.3121,-134.81,169.57,139.31,-56.407,33.783,27.116,1.9743,-2.1704,0.5658,0.015167
809.6,3.5095,22.219,14.849,0.31406,-0.060031,-16.82,45.338,2.383,-134.3,169,139.64,-56.453,33.763,27.232,2.5391,-2.1934,0.56605,0.0067803
809.62,-1.0166,20.647,15.933,0.61198,-0.31965,-15.941,45.323,2.4089,-133.78,168.4,139.97,-56.504,33.742,27.263,3.038,-2.2266,0.56673,0.0015964
809.64,-9.1829,18.787,18.129,0.76592,0.063244,-15.059,45.248,2.4237,-133.25,167.79,140.3,-56.552,33.726,27.295,3.2588,-2.3027,0.56922,0.0099305
809.66,-17.516,18.884,19.062,0.61009,0.49338,-15.26,44.908,2.3892,-132.69,167.2,140.62,-56.595,33.724,27.327,3.4796,-2.3788,0.57172,0.018265
809.68,-22.494,19.216,18.623,0.23393,0.42485,-16.472,44.553,2.3577,-132.12,166.6,140.93,-56.638,33.722,27.359,3.7004,-2.455,0.57421,0.026599
809.7,-26.519,18.977,18.452,0.3646,0.031866,-16.721,44.116,2.3424,-131.55,165.99,141.24,-56.683,33.721,27.432,3.9212,-2.5311,0.57671,0.034933
809.72,-29.985,18.568,19.188,0.7027,0.41169,-16.194,43.635,2.3198,-130.97,165.39,141.55,-56.728,33.719,27.72,4.0293,-2.5585,0.57829,0.040222
809.74,-35.354,19.228,20.124,0.62478,0.98818,-16.319,42.96,2.2648,-130.35,164.79,141.85,-56.774,33.717,28.008,3.6319,-2.3673,0.57579,0.031849
809.76,-37.987,19.853,19.563,0.25972,0.95866,-17.131,42.3,2.2263,-129.74,164.18,142.15,-56.821,33.716,28.297,3.2344,-2.1761,0.57328,0.023477
809.78,-36.613,20.025,17.831,0.22534,0.40146,-17.373,41.706,2.2604,-129.18,163.59,142.43,-56.867,33.714,28.585,2.837,-1.9849,0.57077,0.015104
809.8,-36.589,19.718,17.731,0.51185,0.17527,-16.482,41.089,2.2873,-128.61,163,142.71,-56.913,33.713,28.819,2.4395,-1.7936,0.56827,0.0067309
809.82,-41.483,19.537,19.569,0.65132,0.87262,-15.714,40.316,2.2668,-127.98,162.39,143,-56.963,33.711,28.758,2.0677,-1.6444,0.56625,0
809.84,-42.222,20.414,19.113,0.35008,0.91906,-16.088,39.571,2.264,-127.37,161.79,143.27,-57.012,33.707,28.698,1.8011,-1.6672,0.56625,0
809.86,-36.858,20.822,16.672,0.13309,0.4025,-16.41,38.955,2.3428,-126.83,161.18,143.54,-57.059,33.694,28.637,1.5345,-1.69,0.56625,0
809.88,-30.293,19.783,16.21,0.39123,0.065973,-15.914,38.356,2.4123,-126.28,160.57,143.82,-57.107,33.682,28.577,1.2679,-1.7129,0.56625,0
809.9,-26.867,18.243,17.781,0.69996,0.51046,-15.067,37.851,2.4275,-125.73,159.94,144.09,-57.159,33.669,28.492,1.0013,-1.7357,0.56625,0
809.92,-23.451,18.014,17.966,0.59681,0.96769,-14.993,37.398,2.4539,-125.19,159.31,144.36,-57.21,33.657,28.274,0.77334,-1.7879,0.5662,0
809.94,-15.544,17.899,16.337,0.39694,0.82433,-15.357,37.175,2.5283,-124.71,158.7,144.61,-57.263,33.644,28.055,0.71789,-1.9715,0.56595,0
809.96,-6.1388,17.172,14.579,0.42551,0.33655,-15.707,36.992,2.6,-124.25,158.08,144.87,-57.315,33.632,27.837,0.66243,-2.155,0.5657,0
809.98,-1.6491,15.799,14.58,0.75048,0.46891,-14.954,37.001,2.6583,-123.82,157.47,145.11,-57.37,33.619,27.618,0.60697,-2.3386,0.56545,0
810,-0.25263,15.414,14.336,0.80422,0.79318,-14.523,37.009,2.7182,-123.4,156.85,145.36,-57.426,33.607,27.416,0.55151,-2.5222,0.5652,0
810.02,-0.61627,15.552,13.971,0.46535,0.99172,-14.969,36.999,2.7904,-122.98,156.23,145.61,-57.482,33.594,27.312,0.38397,-2.7475,0.5651,0.0016385
810.04,3.7031,15.991,12.031,0.27652,0.63504,-15.39,37.019,2.8694,-122.57,155.61,145.84,-57.538,33.582,27.208,-0.24149,-3.1433,0.5656,0.0099703
810.06,6.6486,16.502,10.92,0.50852,0.44707,-14.673,37.186,2.9807,-122.24,155.04,146.06,-57.59,33.57,27.104,-0.86695,-3.5391,0.5661,0.018302
810.08,5.6367,16.63,11.713,0.80262,0.80668,-13.772,37.352,3.0933,-121.91,154.46,146.28,-57.642,33.563,27,-1.4924,-3.9348,0.56659,0.026634
810.1,4.1673,18.632,11.998,0.74155,0.93264,-13.859,37.45,3.2737,-121.44,153.77,146.53,-57.702,33.555,26.912,-2.1179,-4.3306,0.56709,0.034966
810.12,8.1628,22.335,9.7077,0.30635,0.95528,-15.031,37.612,3.4795,-120.98,153.1,146.77,-57.761,33.548,26.916,-2.7059,-4.606,0.56736,0.041748
810.14,15.564,25.143,8.1528,0.38115,0.51738,-15.435,38.044,3.7941,-120.57,152.48,146.99,-57.817,33.54,26.919,-3.13,-4.3542,0.56661,0.041748
810.16,21.107,26.913,8.849,0.88257,0.37891,-14.96,38.493,4.118,-120.15,151.86,147.2,-57.873,33.532,26.922,-3.5541,-4.1024,0.56586,0.041748
810.18,23.838,30.039,9.4742,0.94128,0.84363,-15.67,39.03,4.4926,-119.64,151.25,147.41,-57.931,33.525,26.926,-3.9782,-3.8506,0.56511,0.041748
810.2,31.665,33.971,7.8337,0.57972,0.90215,-17.037,39.646,4.8894,-119.14,150.63,147.62,-57.989,33.517,26.95,-4.4023,-3.5989,0.56436,0.041748
810.22,47.562,36.38,5.7241,0.47931,0.35751,-18.34,40.804,5.44,-118.63,149.98,147.83,-58.052,33.51,27.088,-4.7056,-3.4357,0.5638,0.041748
810.24,61.121,36.817,4.8757,0.86271,0.060557,-18.741,42.008,5.9795,-118.12,149.34,148.03,-58.115,33.499,27.227,-4.4846,-3.6566,0.56405,0.041748
810.26,67.604,37.049,5.2669,1.1735,0.37846,-19.273,43.42,6.47,-117.61,148.72,148.22,-58.175,33.474,27.365,-4.2636,-3.8776,0.5643,0.041748
810.28,74.079,37.512,4.8435,0.99773,0.51053,-20.554,44.899,6.967,-117.11,148.09,148.41,-58.235,33.449,27.503,-4.0426,-4.0986,0.56455,0.041748
810.3,82.614,36.575,3.369,0.77042,0.063443,-21.248,46.773,7.5032,-116.63,147.44,148.59,-58.302,33.425,27.591,-3.8216,-4.3196,0.5648,0.041748
810.32,86.653,34.199,3.1873,1.0709,-0.63676,-20.3,48.625,8.0159,-116.14,146.79,148.77,-58.369,33.4,27.404,-3.5061,-4.4765,0.56505,0.040221
810.34,81.94,33.319,4.5821,1.3817,-0.31514,-18.849,50.377,8.4252,-115.63,146.15,148.93,-58.438,33.376,27.216,-2.7667,-4.3465,0.5653,0.03185
810.36,72.695,34.53,5.7003,1.2224,0.0066078,-18.901,52.071,8.8324,-115.11,145.52,149.1,-58.506,33.351,27.029,-2.0274,-4.2165,0.56555,0.023478
810.38,67.735,36.216,5.1241,0.91134,-0.40058,-19.89,53.506,9.2298,-114.53,144.9,149.25,-58.574,33.327,26.842,-1.2881,-4.0865,0.5658,0.015107
810.4,62.765,36.835,5.9683,1.0226,-1.2115,-19.948,54.926,9.6142,-113.95,144.28,149.39,-58.643,33.302,26.715,-0.54877,-3.9565,0.56605,0.0067356
810.42,55.863,36.83,8.4985,1.3685,-0.98808,-19.151,56.235,9.9018,-113.26,143.63,149.54,-58.717,33.278,26.931,0.044291,-3.8668,0.56679,0
810.44,47.013,37.394,11.408,1.3492,-0.6211,-19.386,57.487,10.175,-112.56,142.98,149.68,-58.79,33.245,27.148,0.035096,-3.9429,0.56953,0
810.46,41.974,38.089,12.927,1.1015,-0.48281,-20.789,58.46,10.38,-111.79,142.34,149.81,-58.859,33.181,27.364,0.025901,-4.019,0.57227,0
810.48,35.55,38.511,13.889,1.1355,-1.0292,-21.751,59.386,10.563,-111.01,141.69,149.93,-58.929,33.117,27.581,0.016706,-4.0951,0.57502,0
810.5,27.544,37.641,16.506,1.5673,-1.0504,-20.941,60.078,10.638,-110.21,141.06,150.04,-58.999,33.053,27.797,0.0075109,-4.1711,0.57776,0
810.52,15.754,37.143,19.429,1.5495,-0.34714,-20.852,60.713,10.698,-109.39,140.43,150.15,-59.07,32.989,28.015,0.015211,-4.2319,0.57945,0
810.54,10.745,37.575,20.571,1.2527,-0.44304,-21.608,61.106,10.688,-108.53,139.79,150.25,-59.143,32.925,28.233,0.098262,-4.2243,0.57645,0
810.56,11.568,37.615,21.144,1.2876,-0.99588,-21.841,61.499,10.665,-107.67,139.15,150.34,-59.215,32.861,28.451,0.18131,-4.2166,0.57344,0
810.58,9.4576,36.8,22.958,1.6759,-0.95776,-21.333,61.89,10.582,-106.81,138.53,150.42,-59.288,32.797,28.669,0.26436,-4.209,0.57044,0
810.6,4.1396,36.33,25.528,1.8317,-0.25968,-21.114,62.254,10.487,-105.94,137.9,150.5,-59.362,32.733,28.881,0.34742,-4.2014,0.56744,0
810.62,0.44946,37.3,26.905,1.5128,0.014109,-22.279,62.438,10.314,-104.99,137.25,150.57,-59.439,32.669,29.06,0.40958,-4.2512,0.56505,0.0015722
810.64,2.0885,37.381,26.788,1.3359,-0.34129,-23.164,62.641,10.145,-104.05,136.6,150.64,-59.515,32.609,29.239,0.382,-4.5479,0.5653,0.0098996
810.66,4.0314,36.914,26.291,1.5371,-0.66099,-23.192,62.945,9.9956,-103.17,135.95,150.69,-59.591,32.566,29.417,0.35442,-4.8445,0.56555,0.018227
810.68,1.3115,35.663,28.049,1.7956,-0.28581,-22.766,63.214,9.8356,-102.28,135.3,150.74,-59.666,32.523,29.596,0.32684,-5.1412,0.5658,0.026554
810.7,-2.5497,36.54,29.063,1.6302,0.36968,-22.975,63.3,9.6177,-101.32,134.67,150.77,-59.741,32.479,29.774,0.29926,-5.4379,0.56604,0.034882
810.72,-1.6099,38.267,28.085,1.3097,0.036305,-23.83,63.41,9.4118,-100.36,134.04,150.8,-59.816,32.436,29.949,0.30088,-5.6785,0.56621,0.040277
810.74,1.1215,39.086,27.228,1.4606,-0.30183,-23.628,63.627,9.2592,-99.422,133.4,150.82,-59.893,32.392,30.124,0.43969,-5.6555,0.56595,0.031895
810.76,0.35325,39.565,28.512,1.7199,-0.049161,-22.935,63.828,9.101,-98.474,132.76,150.83,-59.97,32.349,30.3,0.57849,-5.6326,0.5657,0.023512
810.78,-3.251,41.076,30.23,1.6988,0.48124,-22.643,63.947,8.9125,-97.462,132.15,150.83,-60.045,32.305,30.475,0.7173,-5.6096,0.56545,0.01513
810.8,-2.3107,43.848,28.452,1.4086,0.52077,-24.297,64.079,8.7367,-96.443,131.54,150.83,-60.121,32.262,30.682,0.85611,-5.5866,0.5652,0.0067471
810.82,-0.23997,45.513,26.913,1.5745,-0.11583,-26.01,64.293,8.6399,-95.379,130.9,150.81,-60.2,32.218,31.046,0.93383,-5.5622,0.565,0.0016213
810.84,-0.38367,45.344,27.611,1.8286,-0.093539,-25.492,64.477,8.5306,-94.316,130.27,150.79,-60.279,32.179,31.409,0.75952,-5.5318,0.565,0.0099315
810.86,-5.0352,45.122,29.009,1.7755,0.28229,-24.287,64.517,8.3614,-93.256,129.65,150.75,-60.354,32.159,31.773,0.58522,-5.5015,0.565,0.018242
810.88,-7.4729,46.24,28.846,1.3917,0.061768,-25.017,64.583,8.1993,-92.191,129.02,150.71,-60.429,32.139,32.136,0.41092,-5.4711,0.565,0.026552
810.9,-2.0018,46.864,28.098,1.347,-0.47516,-25.501,64.784,8.0735,-91.099,128.4,150.65,-60.506,32.12,32.43,0.23661,-5.4407,0.565,0.034862
810.92,0.42794,47.264,28.794,1.6757,-0.32442,-25.08,64.975,7.9341,-89.996,127.77,150.6,-60.583,32.1,32.344,0.096909,-5.3999,0.565,0.041748
810.94,-1.7556,47.753,30.794,1.9407,0.16467,-24.675,65.119,7.731,-88.842,127.15,150.52,-60.661,32.08,32.259,0.12454,-5.3084,0.565,0.041748
810.96,-2.6402,48.796,31.088,1.7663,0.48406,-25.302,65.278,7.5383,-87.697,126.54,150.44,-60.739,32.06,32.173,0.15217,-5.217,0.565,0.041748
810.98,1.2253,49.249,29.53,1.3407,0.4609,-25.935,65.518,7.4012,-86.605,125.96,150.36,-60.813,32.04,32.088,0.17981,-5.1255,0.565,0.041748
811,6.3826,47.987,28.689,1.5325,0.15354,-25.268,65.764,7.258,-85.512,125.38,150.27,-60.888,32.02,31.997,0.20744,-5.034,0.565,0.041748
811.02,6.4613,46.643,29.063,1.8355,0.51633,-24.382,66.062,7.0683,-84.41,124.77,150.16,-60.967,32,31.879,0.23664,-4.913,0.565,0.041748
811.04,5.0611,45.905,28.766,1.6928,0.87749,-24.594,66.361,6.886,-83.326,124.16,150.04,-61.046,31.973,31.76,0.27363,-4.6452,0.565,0.041748
811.06,7.4345,45.387,27.676,1.378,0.83471,-25.483,66.672,6.7408,-82.335,123.56,149.92,-61.121,31.918,31.642,0.31062,-4.3773,0.565,0.041748
811.08,11.626,44.315,26.052,1.6013,0.42519,-25.87,66.991,6.5913,-81.345,122.96,149.79,-61.196,31.863,31.523,0.34761,-4.1095,0.565,0.041748
811.1,11.803,43.435,26.1,2.1057,0.60938,-25.255,67.354,6.4196,-80.36,122.37,149.64,-61.272,31.809,31.412,0.3846,-3.8416,0.565,0.041748
811.12,8.6747,43.035,26.381,2.1301,1.0747,-25.439,67.712,6.2533,-79.39,121.78,149.5,-61.347,31.754,31.34,0.44534,-3.6189,0.56505,0.040211
811.14,9.5713,41.941,24.944,1.832,1.1919,-26.369,68.041,6.1108,-78.48,121.2,149.34,-61.421,31.699,31.267,0.61134,-3.596,0.5653,0.031856
811.16,14.267,40.32,22.558,1.73,0.5544,-26.518,68.396,5.9673,-77.586,120.64,149.18,-61.493,31.644,31.194,0.77735,-3.5731,0.56555,0.023502
811.18,17.871,38.092,22.337,1.9559,0.47096,-25.486,68.89,5.819,-76.775,120.09,149.01,-61.563,31.589,31.122,0.94335,-3.5502,0.5658,0.015148
811.2,15.964,36.3,22.745,1.9608,1.2579,-25.021,69.362,5.6713,-75.968,119.54,148.83,-61.633,31.535,31.036,1.1094,-3.5273,0.56605,0.006794
811.22,13.607,35.305,21.241,1.4863,1.0893,-25.133,69.68,5.5274,-75.181,118.97,148.63,-61.707,31.48,30.877,1.2358,-3.5229,0.56625,0
811.24,12.815,34.21,19.096,1.3575,0.40028,-24.86,69.995,5.3845,-74.409,118.4,148.43,-61.778,31.408,30.718,1.1899,-3.5989,0.56625,0
811.26,10.421,33.182,18.684,1.7268,0.25673,-23.825,70.297,5.2461,-73.697,117.85,148.22,-61.842,31.274,30.56,1.1439,-3.6749,0.56625,0
811.28,5.6474,32.949,19.943,1.8251,1.1058,-23.095,70.582,5.1066,-72.981,117.29,148.01,-61.907,31.139,30.401,1.098,-3.7509,0.56625,0
811.3,5.1266,33.707,19.316,1.4689,1.0499,-23.36,70.778,4.9607,-72.242,116.74,147.78,-61.969,31.005,30.215,1.0521,-3.8269,0.56625,0
811.32,10.416,33.856,17.266,1.2762,0.46194,-23.345,70.991,4.8194,-71.505,116.19,147.55,-62.032,30.871,29.896,1.0295,-3.8875,0.56625,0.0014141
811.34,9.6756,33.872,17.132,1.5377,0.094919,-21.845,71.285,4.6995,-70.776,115.64,147.3,-62.094,30.736,29.578,1.1221,-3.8722,0.56625,0.0097992
811.36,5.7874,33.383,18.014,1.6567,0.48577,-20.576,71.536,4.5743,-70.05,115.1,147.06,-62.154,30.602,29.259,1.2147,-3.8568,0.56625,0.018184
811.38,-0.70034,33.609,18.916,1.3965,0.92885,-20.18,71.57,4.4224,-69.339,114.6,146.82,-62.208,30.467,28.94,1.3072,-3.8415,0.56625,0.026569
811.4,-0.80409,34.222,17.318,1.097,0.44234,-20.49,71.621,4.2748,-68.623,114.09,146.57,-62.261,30.333,28.599,1.3998,-3.8262,0.56625,0.034955
811.42,2.4472,34.101,16.638,1.2543,0.0083756,-19.413,71.786,4.1564,-67.866,113.56,146.3,-62.316,30.199,28.141,1.4974,-3.7633,0.5663,0.04017
811.44,-1.3121,33.773,18.179,1.4885,0.51057,-18.03,71.895,4.0279,-67.107,113.04,146.02,-62.369,30.087,27.683,1.6168,-3.4974,0.56655,0.031854
811.46,-7.6753,34.571,18.75,1.3427,0.82985,-17.989,71.762,3.8557,-66.339,112.53,145.75,-62.412,30.062,27.226,1.7361,-3.2315,0.5668,0.023538
811.48,-8.7871,35.477,17.218,0.9831,0.42626,-18.618,71.646,3.6921,-65.572,112.01,145.47,-62.454,30.037,26.768,1.8555,-2.9657,0.56704,0.015222
811.5,-7.0203,35.177,16.627,1.155,0.070051,-18.233,71.621,3.5759,-64.804,111.5,145.18,-62.494,30.011,26.372,1.9748,-2.6998,0.56729,0.006906
811.52,-9.4663,34.077,18.366,1.5052,0.30791,-17.056,71.557,3.4466,-64.03,110.99,144.88,-62.534,29.986,26.284,2.1699,-2.4777,0.56746,0
811.54,-13.372,33.822,19.121,1.3517,0.586,-16.914,71.31,3.2551,-63.229,110.49,144.58,-62.571,29.96,26.197,2.7362,-2.47,0.56721,0
811.56,-15.16,33.798,18.295,1.0012,0.46582,-17.755,71.082,3.0743,-62.45,110,144.28,-62.606,29.935,26.109,3.3024,-2.4623,0.56695,0
811.58,-14.574,32.068,17.469,1.0035,-0.072139,-17.697,70.932,2.9394,-61.765,109.53,143.98,-62.636,29.91,26.021,3.8687,-2.4546,0.5667,0
811.6,-13.874,29.585,19.144,1.4195,-0.24562,-16.491,70.756,2.7884,-61.079,109.06,143.68,-62.667,29.884,25.93,4.4349,-2.4469,0.56645,0
811.62,-19.065,27.877,21.569,1.3835,0.22927,-16.208,70.378,2.5139,-60.375,108.57,143.35,-62.697,29.859,25.818,4.9453,-2.4408,0.5663,0
811.64,-23.493,27.34,21.748,0.94176,0.33026,-16.169,69.973,2.2399,-59.686,108.08,143.02,-62.724,29.82,25.706,5.2387,-2.4408,0.56655,0
811.66,-28.127,26.153,20.964,0.79229,-0.19045,-15.991,69.45,1.9681,-59.068,107.6,142.7,-62.742,29.729,25.594,5.5321,-2.4408,0.5668,0
811.68,-36.163,23.868,22.495,1.1895,-0.1537,-15.112,68.849,1.6773,-58.454,107.12,142.37,-62.759,29.638,25.481,5.8255,-2.4408,0.56705,0
811.7,-47.844,22.657,24.55,1.2674,0.46547,-14.809,67.852,1.2874,-57.856,106.64,142.03,-62.775,29.546,25.393,6.1189,-2.4408,0.5673,0
811.72,-55.408,22.706,24.835,0.82454,0.58172,-15.468,66.851,0.90422,-57.261,106.17,141.68,-62.79,29.455,25.437,6.3222,-2.4122,0.56741,0
811.74,-54.606,22.282,24.161,0.60403,0.16862,-15.531,65.835,0.55074,-56.673,105.71,141.34,-62.802,29.364,25.481,6.1093,-2.2514,0.56691,0
811.76,-54.101,20.227,24.995,0.81695,0.3613,-13.964,64.783,0.18566,-56.092,105.25,140.99,-62.814,29.273,25.526,5.8965,-2.0906,0.56641,0
811.78,-59.653,18.092,26.359,0.94384,1.153,-12.31,63.56,-0.23314,-55.538,104.81,140.66,-62.823,29.182,25.57,5.6836,-1.9297,0.5659,0
811.8,-65.838,18.298,25.625,0.73094,1.4092,-12.36,62.332,-0.63865,-54.981,104.38,140.31,-62.832,29.091,25.625,5.4708,-1.7689,0.5654,0
